non-preferred name	preferred name
ATP pyrophosphate-lyase	adenylate cyclase
heme synthase	ferrochelatase
heme synthetase	ferrochelatase
iron chelatase	ferrochelatase
protoheme ferro-lyase	ferrochelatase
galactowaldenase	UDP-glucose 4-epimerase
UDP-galactose 4-epimerase	UDP-glucose 4-epimerase
uridine diphosphate galactose 4-epimerase	UDP-glucose 4-epimerase
uridine diphospho-galactose-4-epimerase	UDP-glucose 4-epimerase
GlcNAc 2-epimerase	N-acylglucosamine 2-epimerase
N-acetyl-D-glucosamine 2-epimerase	N-acylglucosamine 2-epimerase
dTDP-4-keto-6-deoxyglucose 3,5-epimerase	dTDP-4-dehydrorhamnose 3,5-epimerase
dTDP-L-rhamnose synthetase	dTDP-4-dehydrorhamnose 3,5-epimerase
thymidine diphospho-4-ketorhamnose 3,5-epimerase	dTDP-4-dehydrorhamnose 3,5-epimerase
maleylacetone isomerase	maleylacetoacetate isomerase
hexose monophosphate isomerase	glucose-6-phosphate isomerase
hexosephosphate isomerase	glucose-6-phosphate isomerase
oxoisomerase	glucose-6-phosphate isomerase
phosphoglucoisomerase	glucose-6-phosphate isomerase
phosphoglucose isomerase	glucose-6-phosphate isomerase
phosphohexoisomerase	glucose-6-phosphate isomerase
phosphohexomutase	glucose-6-phosphate isomerase
phosphohexose isomerase	glucose-6-phosphate isomerase
phosphosaccharomutase	glucose-6-phosphate isomerase
hydroxyphenylpyruvate synthase	chorismate mutase
cis,cis-muconate lactonizing enzyme I	muconate cycloisomerase
muconate cycloisomerase I	muconate cycloisomerase
muconate lactonizing enzyme	muconate cycloisomerase
3-carboxymuconate lactonizing enzyme	3-carboxy-cis,cis-muconate cycloisomerase
beta-carboxymuconate lactonizing enzyme	3-carboxy-cis,cis-muconate cycloisomerase
CMLE	3-carboxy-cis,cis-muconate cycloisomerase
acetate thiokinase	acetate--CoA ligase
acetyl-activating enzyme	acetate--CoA ligase
acetyl-CoA synthase	acetate--CoA ligase
acetyl-CoA synthetase	acetate--CoA ligase
acyl-activating enzyme	acetate--CoA ligase
acyl-CoA synthetase	long-chain-fatty-acid--CoA ligase
fatty acid thiokinase (long chain)	long-chain-fatty-acid--CoA ligase
lignoceroyl-CoA synthase	long-chain-fatty-acid--CoA ligase
pantoate-activating enzyme	pantoate--beta-alanine ligase
pantoic-activating enzyme	pantoate--beta-alanine ligase
pantothenate synthetase	pantoate--beta-alanine ligase
gamma-glutamyl-L-cysteine synthetase	glutamate--cysteine ligase
gamma-glutamylcysteine synthetase	glutamate--cysteine ligase
glutathione synthetase	glutathione synthase
GSH synthetase	glutathione synthase
MurF synthetase	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
UDP-MurNAc-L-Ala-D-Glu-L-Lys:D-Ala-D-Ala ligase	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
UDP-MurNAc-pentapeptide synthetase	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine synthetase	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D- alanyl-D-alanine synthetase	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
UDP-N-acetylmuramoylalanine-D-glutamyl-lysine--D-alanyl-D-alanine ligase	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D- alanine ligase	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
UDP-N-acetylmuramoylalanyl-D-glutamyl-lysine-D-alanyl-D-alanine ligase	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
UDPacetylmuramoylpentapeptide synthetase	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
uridine diphosphoacetylmuramoylpentapeptide synthetase	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
DTB synthetase	dethiobiotin synthase
xanthosine-5'-phosphate--ammonia ligase	GMP synthase
XMP aminase	GMP synthase
CTP synthetase	CTP synthase
UTP--ammonia ligase	CTP synthase
arginine succinate synthetase	argininosuccinate synthase
argininosuccinate synthetase	argininosuccinate synthase
citrulline--aspartate ligase	argininosuccinate synthase
GAR synthetase	phosphoribosylamine--glycine ligase
GARS	phosphoribosylamine--glycine ligase
glycinamide ribonucleotide synthetase	phosphoribosylamine--glycine ligase
phosphoribosylglycinamide synthetase	phosphoribosylamine--glycine ligase
tartronate semialdehyde reductase	2-hydroxy-3-oxopropionate reductase
mesotartrate dehydrogenase	tartrate dehydrogenase
phosphate-dependent pyruvate oxidase	pyruvate oxidase
pyruvic oxidase	pyruvate oxidase
enoyl-ACP reductase	enoyl-[acyl-carrier-protein] reductase (NADH)
NADH-enoyl acyl carrier protein reductase	enoyl-[acyl-carrier-protein] reductase (NADH)
NADH-specific enoyl-ACP reductase	enoyl-[acyl-carrier-protein] reductase (NADH)
P5CR	pyrroline-5-carboxylate reductase
NADP--thioredoxin reductase	thioredoxin-disulfide reductase
NADPH--thioredoxin reductase	thioredoxin-disulfide reductase
NADPH:oxidized thioredoxin oxidoreductase	thioredoxin-disulfide reductase
thioredoxin reductase (NADPH)	thioredoxin-disulfide reductase
indolamine 2,3-dioxygenase	tryptophan 2,3-dioxygenase
indoleamine 2,3-dioxygenase	tryptophan 2,3-dioxygenase
L-tryptophan 2,3-dioxygenase	tryptophan 2,3-dioxygenase
L-tryptophan pyrrolase	tryptophan 2,3-dioxygenase
tryptamin 2,3-dioxygenase	tryptophan 2,3-dioxygenase
tryptamine 2,3-dioxygenase	tryptophan 2,3-dioxygenase
tryptophan oxygenase	tryptophan 2,3-dioxygenase
tryptophan peroxidase	tryptophan 2,3-dioxygenase
tryptophan pyrrolase	tryptophan 2,3-dioxygenase
tryptophanase	tryptophan 2,3-dioxygenase
gamma-BBH	gamma-butyrobetaine dioxygenase
gamma-butyrobetaine hydroxylase	gamma-butyrobetaine dioxygenase
gamma-butyrobetaine,2-oxoglutarate dioxygenase	gamma-butyrobetaine dioxygenase
precorrin-3X synthase	precorrin-3B synthase
2-amino-N-ribosylacetamide 5'-phosphate transformylase	phosphoribosylglycinamide formyltransferase
5'-phosphoribosylglycinamide transformylase	phosphoribosylglycinamide formyltransferase
5,10-methenyltetrahydrofolate:2-amino-N-ribosylacetamide ribonucleotide transformylase	phosphoribosylglycinamide formyltransferase
GAR formyltransferase	phosphoribosylglycinamide formyltransferase
GAR TFase	phosphoribosylglycinamide formyltransferase
GAR transformylase	phosphoribosylglycinamide formyltransferase
GART	phosphoribosylglycinamide formyltransferase
gycinamide ribonucleotide transformylase	phosphoribosylglycinamide formyltransferase
glycoaldehyde transferase	transketolase
dihydroxyacetone transferase	transaldolase
glycerone transferase	transaldolase
acetyl-coenzyme A-1,4-diaminobutane N-acetyltransferase	diamine N-acetyltransferase
diamine acetyltransferase	diamine N-acetyltransferase
putrescine (diamine)-acetylating enzyme	diamine N-acetyltransferase
putrescine acetylase	diamine N-acetyltransferase
putrescine acetyltransferase	diamine N-acetyltransferase
putrescine N-acetyltransferase	diamine N-acetyltransferase
spermidine acetyltransferase	diamine N-acetyltransferase
transglucosylase	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
trehalose 6-phosphate synthase	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
trehalose 6-phosphate synthetase	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
trehalose phosphate synthase	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
trehalose phosphate synthetase	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
trehalosephosphate-UDP glucosyltransferase	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
UDP-glucose--glucose-phosphate glucosyltransferase	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
amylo-(1,4 to 1,6)transglucosidase	1,4-alpha-glucan branching enzyme
amylo-(1,4->1,6)-transglycosylase	1,4-alpha-glucan branching enzyme
branching enzyme	1,4-alpha-glucan branching enzyme
glycogen branching enzyme	1,4-alpha-glucan branching enzyme
pyrimidine phosphorylase	thymidine phosphorylase
AMP diphosphorylase	adenine phosphoribosyltransferase
AMP pyrophosphorylase	adenine phosphoribosyltransferase
APRT	adenine phosphoribosyltransferase
transphosphoribosidase	adenine phosphoribosyltransferase
UMP diphosphorylase	uracil phosphoribosyltransferase
UMP pyrophosphorylase	uracil phosphoribosyltransferase
aminopropyltransferase	spermidine synthase
putrescine aminopropyltransferase	spermidine synthase
N(2)-succinylornithine 5-aminotransferase	succinylornithine transaminase
SOAT	succinylornithine transaminase
succinylornithine aminotransferase	succinylornithine transaminase
PNP synthase	pyridoxine 5'-phosphate synthase
glucose kinase	glucokinase
xylulose kinase	xylulokinase
pyridoxamine kinase	pyridoxal kinase
pyridoxine kinase	pyridoxal kinase
vitamin B(6) kinase	pyridoxal kinase
vitamin B6 kinase	pyridoxal kinase
phosphoenol transphosphorylase	pyruvate kinase
phosphoenolpyruvate kinase	pyruvate kinase
lipid-A 4'-kinase	tetraacyldisaccharide 4'-kinase
ATP-polyphosphate phosphotransferase	polyphosphate kinase
polyphosphoric acid kinase	polyphosphate kinase
guanosine 3',5'-polyphosphate synthase	GTP diphosphokinase
ppGpp synthetase I	GTP diphosphokinase
stringent factor	GTP diphosphokinase
polynucleotide phosphorylase	polyribonucleotide nucleotidyltransferase
CDP-diglycerine-serine O-phosphatidyltransferase	CDP-diacylglycerol--serine O-phosphatidyltransferase
phosphatidylserine synthase	CDP-diacylglycerol--serine O-phosphatidyltransferase
selenide,water dikinase	selenide, water dikinase
selenium donor protein	selenide, water dikinase
selenophosphate synthase	selenide, water dikinase
selenophosphate synthetase	selenide, water dikinase
lipase	triacylglycerol lipase
tributyrase	triacylglycerol lipase
triglyceride lipase	triacylglycerol lipase
PHB depolymerase	poly(3-hydroxybutyrate) depolymerase
poly((R)-hydroxyalkanoic acid) depolymerase	poly(3-hydroxybutyrate) depolymerase
poly(3HB) depolymerase	poly(3-hydroxybutyrate) depolymerase
poly(HA(SCL)) depolymerase	poly(3-hydroxybutyrate) depolymerase
poly(HA) depolymerase	poly(3-hydroxybutyrate) depolymerase
trehalose 6-phosphate phosphatase	trehalose-phosphatase
ribonuclease 3	ribonuclease III
RNase III	ribonuclease III
melibiase	alpha-galactosidase
bacterial leader peptidase I	signal peptidase I
phage-procoat-leader peptidase	signal peptidase I
SPase I	signal peptidase I
lipoprotein signal peptidase	signal peptidase II
premurein-leader peptidase	signal peptidase II
prolipoprotein-signal peptidase	signal peptidase II
SPase II	signal peptidase II
L-carbamoylase	N-carbamoyl-L-amino-acid hydrolase
N(2)-succinylglutamate desuccinylase	succinylglutamate desuccinylase
SGDS	succinylglutamate desuccinylase
uroporphyrinogen III decarboxylase	uroporphyrinogen decarboxylase
uroporphyrinogen-III carboxy-lyase	uroporphyrinogen decarboxylase
5-oxopent-3-ene-1,2,5-tricarboxylate carboxy-lyase	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase
L-threonine O-3-phosphate carboxy-lyase	threonine-phosphate decarboxylase
L-threonine-O-3-phosphate decarboxylase	threonine-phosphate decarboxylase
imidazolonepropionate hydrolase	urocanate hydratase
urocanase	urocanate hydratase
D-hydroxy amino acid dehydratase	D-serine ammonia-lyase
D-serine deaminase	D-serine ammonia-lyase
D-serine dehydrase	D-serine ammonia-lyase
D-serine dehydratase	D-serine ammonia-lyase
D-serine dehydratase (deaminating)	D-serine ammonia-lyase
D-serine hydro-lyase (deaminating)	D-serine ammonia-lyase
D-serine hydrolase	D-serine ammonia-lyase
D-ribulose phosphate-3-epimerase	ribulose-phosphate 3-epimerase
D-ribulose-5-phosphate epimerase	ribulose-phosphate 3-epimerase
D-xylulose-5-phosphate 3-epimerase	ribulose-phosphate 3-epimerase
erythrose-4-phosphate epimerase	ribulose-phosphate 3-epimerase
pentose-5-phosphate 3-epimerase	ribulose-phosphate 3-epimerase
phosphoribulose epimerase	ribulose-phosphate 3-epimerase
xylulose phosphate 3-epimerase	ribulose-phosphate 3-epimerase
UDP-GlcNAc-2-epimerase	UDP-N-acetylglucosamine 2-epimerase
uridine diphosphate-N-acetylglucosamine-2'-epimerase	UDP-N-acetylglucosamine 2-epimerase
uridine diphospho-N-acetylglucosamine 2'-epimerase	UDP-N-acetylglucosamine 2-epimerase
uridine diphosphoacetylglucosamine 2'-epimerase	UDP-N-acetylglucosamine 2-epimerase
phosphotriose isomerase	triose-phosphate isomerase
triose phosphoisomerase	triose-phosphate isomerase
triosephosphate isomerase	triose-phosphate isomerase
triosephosphate mutase	triose-phosphate isomerase
HBA synthase	precorrin-8X methylmutase
hydrogenobyrinic acid-binding protein	precorrin-8X methylmutase
precorrin isomerase	precorrin-8X methylmutase
AIR synthase	phosphoribosylformylglycinamidine cyclo-ligase
AIR synthetase	phosphoribosylformylglycinamidine cyclo-ligase
AIRS	phosphoribosylformylglycinamidine cyclo-ligase
phosphoribosyl-aminoimidazole synthetase	phosphoribosylformylglycinamidine cyclo-ligase
phosphoribosylaminoimidazole synthetase	phosphoribosylformylglycinamidine cyclo-ligase
glutamine amidotransferase	GMP synthase (glutamine-hydrolyzing)
GMP synthetase (glutamine-hydrolyzing)	GMP synthase (glutamine-hydrolyzing)
FGAM synthase	phosphoribosylformylglycinamidine synthase
FGAM synthetase	phosphoribosylformylglycinamidine synthase
FGAR amidotransferase	phosphoribosylformylglycinamidine synthase
FGARAT	phosphoribosylformylglycinamidine synthase
formylglycinamide ribotide amidotransferase	phosphoribosylformylglycinamidine synthase
phosphoribosylformylglycinamidine synthetase	phosphoribosylformylglycinamidine synthase
glucitol dehydrogenase	L-iditol 2-dehydrogenase
polyol dehydrogenase	L-iditol 2-dehydrogenase
sorbitol dehydrogenase	L-iditol 2-dehydrogenase
L-lactic acid dehydrogenase	L-lactate dehydrogenase
L-lactic dehydrogenase	L-lactate dehydrogenase
2-keto-3-deoxygluconate oxidoreductase	2-deoxy-D-gluconate 3-dehydrogenase
beta-hydroxybutyryl-CoA dehydrogenase	3-hydroxybutyryl-CoA dehydrogenase
BHBD	3-hydroxybutyryl-CoA dehydrogenase
1,3-propanediol oxidoreductase	1,3-propanediol dehydrogenase
3-hydroxypropionaldehyde reductase	1,3-propanediol dehydrogenase
pyruvate dehydrogenase	pyruvate dehydrogenase (cytochrome)
pyruvic dehydrogenase	pyruvate dehydrogenase (cytochrome)
butyryl dehydrogenase	butyryl-CoA dehydrogenase
short-chain-acyl-CoA dehydrogenase	butyryl-CoA dehydrogenase
unsaturated acyl-CoA reductase	butyryl-CoA dehydrogenase
5-methyltetrahydrofolate--homocysteine S-methyltransferase	methionine synthase
5-methyltetrahydrofolate--homocysteine transmethylase	methionine synthase
B12 N(5)-methyltetrahydrofolate homocysteine methyltransferase	methionine synthase
cobalamin-dependent methionine synthase	methionine synthase
methionine synthase (cobalamin-dependent)	methionine synthase
methionine synthetase	methionine synthase
methyltetrahydrofolate--homocysteine vitamin B12 methyltransferase	methionine synthase
N(5)-methyltetrahydrofolate methyltransferase	methionine synthase
N(5)-methyltetrahydrofolate--homocysteine cobalamin methyltransferase	methionine synthase
N(5)-methyltetrahydrofolic--homocysteine vitamin B12 transmethylase	methionine synthase
N-methyltetrahydrofolate:L-homocysteine methyltransferase	methionine synthase
tetrahydrofolate methyltransferase	methionine synthase
tetrahydropteroylglutamate methyltransferase	methionine synthase
tetrahydropteroylglutamic methyltransferase	methionine synthase
vitamin B12 methyltransferase	methionine synthase
phosphofructokinase I	6-phosphofructokinase
phosphohexokinase	6-phosphofructokinase
CDP-glucose diphosphorylase	glucose-1-phosphate cytidylyltransferase
CDP-glucose pyrophosphorylase	glucose-1-phosphate cytidylyltransferase
(2R)-phosphosulfolactate phosphohydrolase	2-phosphosulfolactate phosphatase
ComB phosphatase	2-phosphosulfolactate phosphatase
acid maltase	alpha-glucosidase
glucoinvertase	alpha-glucosidase
glucosidosucrase	alpha-glucosidase
lysosomal alpha-glucosidase	alpha-glucosidase
maltase	alpha-glucosidase
maltase-glucoamylase	alpha-glucosidase
exo-(1->4)-beta-D-galactanase	beta-galactosidase
lactase	beta-galactosidase
trehalose-6-phosphate hydrolase	alpha,alpha-phosphotrehalase
beta-asp-Arg hydrolyzing enzyme	cyanophycinase
CGPase	cyanophycinase
cyanophycin degrading enzyme	cyanophycinase
cyanophycin granule polypeptidase	cyanophycinase
clostridiopeptidase B	clostripain
clostridiopeptidase A	microbial collagenase
Clostridium histolyticum collagenase	microbial collagenase
collagenase A	microbial collagenase
collagenase I	microbial collagenase
bile salt hydrolase	choloylglycine hydrolase
glycocholase	choloylglycine hydrolase
creatinine amidohydrolase	creatininase
5-hydroxyisourate hydrolase	hydroxyisourate hydrolase
HIUHase	hydroxyisourate hydrolase
N-acetylneuraminate pyruvate-lyase	N-acetylneuraminate lyase
N-acetylneuraminic acid aldolase	N-acetylneuraminate lyase
(S)-3-hydroxy-3-methylglutaryl-CoA acetoacetate-lyase	hydroxymethylglutaryl-CoA lyase
3-hydroxy-3-methylglutarate-CoA lyase	hydroxymethylglutaryl-CoA lyase
HMG-CoA lyase	hydroxymethylglutaryl-CoA lyase
crotonase	3-hydroxybutyryl-CoA dehydratase
aldose mutarotase	aldose 1-epimerase
mutarotase	aldose 1-epimerase
5-keto-4-deoxyuronate isomerase	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
N-(5'-phosphoribosyl)anthranilate isomerase	phosphoribosylanthranilate isomerase
PRAI	phosphoribosylanthranilate isomerase
nicking-closing enzyme	DNA topoisomerase
omega-protein	DNA topoisomerase
relaxing enzyme	DNA topoisomerase
swivelase	DNA topoisomerase
untwisting enzyme	DNA topoisomerase
asparagine synthetase	aspartate--ammonia ligase
alanine:alanine ligase (ADP-forming)	D-alanine--D-alanine ligase
alanylalanine synthetase	D-alanine--D-alanine ligase
D-Ala-D-Ala synthetase	D-alanine--D-alanine ligase
D-alanyl-D-alanine synthetase	D-alanine--D-alanine ligase
D-alanylalanine synthetase	D-alanine--D-alanine ligase
NAD-linked glycerol dehydrogenase	glycerol dehydrogenase
propanediol oxidoreductase	lactaldehyde reductase
heme oxidase	heme oxygenase
heme oxygenase (decyclizing)	heme oxygenase
phosphoacylase	phosphate acetyltransferase
phosphotransacetylase	phosphate acetyltransferase
thiogalactoside acetyltransferase	galactoside O-acetyltransferase
phosphotransbutyrylase	phosphate butyryltransferase
Py-NPase	pyrimidine-nucleoside phosphorylase
UPase	uridine phosphorylase
UrdPase	uridine phosphorylase
guanine phosphoribosyltransferase	hypoxanthine phosphoribosyltransferase
HGPRTase	hypoxanthine phosphoribosyltransferase
hypoxanthine-guanine phosphoribosyltransferase	hypoxanthine phosphoribosyltransferase
IMP diphosphorylase	hypoxanthine phosphoribosyltransferase
IMP pyrophosphorylase	hypoxanthine phosphoribosyltransferase
xan phosphoribosyltransferase	xanthine phosphoribosyltransferase
